Date;Open;High;Low;Close*;Adj Close**;Volume
2019-12-31;3215.18;3231.72;3212.03;3230.78;3230.78;2893810000
2019-12-30;3240.09;3240.92;3216.57;3221.29;3221.29;3013290000
2019-12-27;3247.23;3247.93;3234.37;3240.02;3240.02;2428670000
2019-12-26;3227.2;3240.08;3227.2;3239.91;3239.91;2160680000
2019-12-24;3225.45;3226.43;3220.51;3223.38;3223.38;1296540000
2019-12-23;3226.05;3227.78;3222.3;3224.01;3224.01;3060610000
2019-12-20;3223.33;3225.65;3216.03;3221.22;3221.22;6454270000
2019-12-19;3192.32;3205.48;3192.32;3205.37;3205.37;3720450000
2019-12-18;3195.21;3198.48;3191.14;3191.14;3191.14;4014080000
2019-12-17;3195.4;3198.22;3191.03;3192.52;3192.52;3837540000
2019-12-16;3183.63;3197.71;3183.63;3191.45;3191.45;4051790000
2019-12-13;3166.65;3182.68;3156.51;3168.8;3168.8;3736870000
2019-12-12;3141.23;3176.28;3138.47;3168.57;3168.57;3990690000
2019-12-11;3135.75;3143.98;3133.21;3141.63;3141.63;3252540000
2019-12-10;3135.36;3142.12;3126.09;3132.52;3132.52;3343790000
2019-12-09;3141.86;3148.87;3135.46;3135.96;3135.96;3345990000
2019-12-06;3134.62;3150.6;3134.62;3145.91;3145.91;3479480000
2019-12-05;3119.21;3119.45;3103.76;3117.43;3117.43;3355750000
2019-12-04;3103.5;3119.38;3102.53;3112.76;3112.76;3695030000
2019-12-03;3087.41;3094.97;3070.33;3093.2;3093.2;3653390000
2019-12-02;3143.85;3144.31;3110.78;3113.87;3113.87;3268740000
2019-11-29;3147.18;3150.3;3139.34;3140.98;3140.98;1743020000
2019-11-27;3145.49;3154.26;3143.41;3153.63;3153.63;3033090000
2019-11-26;3134.85;3142.69;3131;3140.52;3140.52;4595590000
2019-11-25;3117.44;3133.83;3117.44;3133.64;3133.64;3511530000
2019-11-22;3111.41;3112.87;3099.26;3110.29;3110.29;3226780000
2019-11-21;3108.49;3110.11;3094.55;3103.54;3103.54;3720560000
2019-11-20;3114.66;3118.97;3091.41;3108.46;3108.46;4034890000
2019-11-19;3127.45;3127.64;3113.47;3120.18;3120.18;3590070000
2019-11-18;3117.91;3124.17;3112.06;3122.03;3122.03;3436690000
2019-11-15;3107.92;3120.46;3104.6;3120.46;3120.46;3335650000
2019-11-14;3090.75;3098.2;3083.26;3096.63;3096.63;3276070000
2019-11-13;3084.18;3098.06;3078.8;3094.04;3094.04;3509280000
2019-11-12;3089.28;3102.61;3084.73;3091.84;3091.84;3466010000
2019-11-11;3080.33;3088.33;3075.82;3087.01;3087.01;3035530000
2019-11-08;3081.25;3093.09;3073.58;3093.08;3093.08;3499150000
2019-11-07;3087.02;3097.77;3080.23;3085.18;3085.18;4144640000
2019-11-06;3075.1;3078.34;3065.89;3076.78;3076.78;4458190000
